src_id,src_community,dest_id,dest_community
82876,0,130813,0
82876,0,130832,28
82876,0,1310894,0
82876,0,131131,0
82876,0,1312401,0
82876,0,1313588,3
82876,0,131385,22
82876,0,1318871,22
82876,0,1318940,0
82876,0,1319291,0
82876,0,1319629,0
82876,0,131999,0
82876,0,1320783,0
82876,0,132097,3
82876,0,132125,3
82876,0,1321253,21
82876,0,1321829,22
82876,0,1322240,0
82876,0,1322404,3
82876,0,1322441,0
82876,0,1324420,0
82876,0,1324577,0
82876,0,1324600,22
82876,0,132627,0
82876,0,1327756,0
82876,0,1329056,3
82876,0,132916,0
82876,0,1330770,3
82876,0,1331101,0
82876,0,1331188,22
82876,0,133160,0
82876,0,1333511,0
82876,0,1333889,22
82876,0,1334133,22
82876,0,1334617,0
82876,0,133510,3
82876,0,1337043,3
82876,0,133747,38
82876,0,1337695,20
82876,0,1337852,0
82876,0,1342328,0
82876,0,134276,0
82876,0,1342988,3
82876,0,1343423,0
82876,0,134388,21
82876,0,1344225,0
82876,0,1347329,0
82876,0,1347451,0
82876,0,1347486,0
82876,0,134787,0
82876,0,1348912,3
82876,0,1353546,14
82876,0,135437,0
82876,0,1355932,0
82876,0,135643,0
82876,0,135682,0
82876,0,1358574,0
82876,0,135937,0
82876,0,135950,3
82876,0,1359549,0
82876,0,136016,3
82876,0,1360410,3
82876,0,1360423,3
82876,0,1360884,28
82876,0,1360993,0
82876,0,136167,22
82876,0,136254,0
82876,0,1364765,0
82876,0,136518,22
82876,0,1367295,0
82876,0,1368039,22
82876,0,1368720,0
82876,0,1371961,4
82876,0,1372955,0
82876,0,1373794,0
82876,0,137479,22
82876,0,1374866,0
82876,0,1376351,0
82876,0,1376576,0
82876,0,1378103,0
82876,0,1378814,0
82876,0,1380033,0
82876,0,1381012,0
82876,0,1381494,0
82876,0,1381658,0
82876,0,1381748,3
82876,0,1385386,0
82876,0,1385869,0
82876,0,1386424,0
82876,0,1387668,3
82876,0,1388593,22
82876,0,1390755,0
82876,0,1391515,0
82876,0,1392126,3
82876,0,139313,0
82876,0,139412,0
82876,0,1395472,0
82876,0,1396867,0
82876,0,1397251,0
82876,0,1398756,0
82876,0,1399848,0
82876,0,140006,22
82876,0,1401743,3
82876,0,1402912,0
82876,0,1403147,0
82876,0,1403972,0
82876,0,1406281,3
82876,0,140760,3
82876,0,1408419,28
82876,0,1408847,0
82876,0,1411000,3
